tempo,danceability,energy,valence,peak_rank,weeks_on_board
140.201,0.719,0.648,0.66,51,6
154.983,0.912,0.412,0.423,2,22
99.034,0.774,0.554,0.349,8,33
98.938,0.732,0.458,0.661,6,41
150.002,0.899,0.586,0.492,7,16
95.05,0.599,0.448,0.168,1,57
95.05,0.599,0.448,0.168,10,20
137.996,0.904,0.518,0.188,6,22
147.997,0.662,0.714,0.464,12,28
123.941,0.794,0.793,0.677,2,52
95.799,0.572,0.385,0.323,1,45
104.666,0.548,0.704,0.288,3,30
76.061,0.758,0.474,0.054,14,3
91.019,0.764,0.32,0.575,2,41
113.088,0.724,0.573,0.438,37,23
100.066,0.775,0.613,0.797,5,40
100.066,0.775,0.613,0.797,67,2
105.803,0.614,0.598,0.565,78,13
134.943,0.761,0.386,0.526,49,2
104.02,0.637,0.666,0.529,40,13
150.062,0.833,0.434,0.281,5,31
172.521,0.414,0.677,0.085,8,4
131.798,0.487,0.534,0.173,40,6
91.03,0.835,0.626,0.35,1,22
116.971,0.896,0.586,0.642,1,38
134.007,0.928,0.481,0.613,10,6
134.007,0.928,0.481,0.613,8,25
96.172,0.607,0.829,0.685,81,7
109.891,0.501,0.405,0.446,1,54
89.792,0.522,0.385,0.236,59,2
89.792,0.522,0.385,0.236,2,52
97.028,0.836,0.544,0.51,49,23
139.913,0.638,0.523,0.422,4,20
106.066,0.69,0.784,0.669,11,9
149.972,0.65,0.613,0.08,5,20
157.966,0.481,0.451,0.289,1,26
170.142,0.797,0.844,0.52,26,25
82.014,0.579,0.904,0.681,4,52
107.01,0.753,0.657,0.437,5,40
91.066,0.399,0.491,0.151,79,8
103.967,0.792,0.625,0.37,1,36
113.011,0.73,0.729,0.467,13,32
100.015,0.687,0.792,0.671,59,2
100.015,0.687,0.792,0.671,2,52
110.567,0.477,0.682,0.345,24,20
180.291,0.529,0.9,0.434,7,6
174.063,0.657,0.421,0.181,7,20
79.882,0.477,0.61,0.358,11,27
128.005,0.747,0.834,0.687,52,19
81.965,0.561,0.779,0.235,5,35
162.991,0.791,0.582,0.443,29,20
117.987,0.68,0.825,0.784,5,9
129.976,0.553,0.502,0.296,41,9
103.072,0.743,0.837,0.263,36,6
99.943,0.624,0.876,0.781,53,4
146.04,0.592,0.457,0.225,70,2
86.009,0.754,0.575,0.491,13,7
123.95,0.793,0.793,0.679,2,52
120.074,0.679,0.516,0.716,29,14
128.009,0.921,0.537,0.711,13,20
94.148,0.755,0.578,0.581,9,32
103.014,0.695,0.884,0.914,20,11
99.183,0.649,0.453,0.431,39,4
75.012,0.796,0.5,0.227,55,12
111.98,0.809,0.463,0.364,8,20
83.995,0.709,0.548,0.543,25,15
139.059,0.763,0.726,0.349,34,20
95.001,0.783,0.84,0.839,43,21
111.881,0.459,0.575,0.183,9,44
94.981,0.876,0.519,0.158,13,20
141.971,0.52,0.761,0.286,30,23
139.999,0.746,0.251,0.18,77,2
164.023,0.69,0.524,0.562,8,27
123.962,0.631,0.927,0.465,3,32
93.68,0.486,0.567,0.154,41,10
116.073,0.762,0.7,0.608,6,48
76.469,0.598,0.427,0.06,1,21
93.372,0.585,0.909,0.758,1,25
83.903,0.511,0.566,0.218,2,48
139.023,0.865,0.687,0.486,19,25
139.023,0.865,0.687,0.486,41,20
122.179,0.639,0.546,0.149,40,7
109.974,0.845,0.561,0.811,21,24
109.978,0.83,0.585,0.485,8,7
81.618,0.834,0.454,0.837,1,20
101.085,0.803,0.715,0.574,42,21
77.169,0.754,0.449,0.357,1,36
172.065,0.55,0.415,0.274,52,10
172.065,0.55,0.415,0.274,70,10
141.991,0.825,0.572,0.568,55,3
85.043,0.358,0.557,0.494,11,52
145.914,0.907,0.633,0.395,10,22
159.966,0.685,0.692,0.578,27,18
136.078,0.925,0.443,0.35,9,16
109.891,0.501,0.405,0.446,1,54
